Name,ATCC Number,Isolation Source (Where found),Culture Medium,Incubation Temperature,Atmosphere,Biosafety Level,Product Sheet,ATCC Product Link
Pseudomonas aeruginosa,ATCC 27853,Blood culture,ATCC Medium 18: Trypticase Soy Agar/Broth,37°C,Aerobic,BSL 2,https://www.atcc.org/api/pdf/product-sheet?id=27853,https://www.atcc.org/products/27853
Gram Negative cocci,ATCC 19424,N/A,ATCC Medium 814: GC Agar/Broth Medium,37°C,"95% Air, 5% CO2",BSL 2,https://www.atcc.org/api/pdf/product-sheet?id=19424,https://www.atcc.org/products/19424
Gram Negative cocci,ATCC 19424,N/A,ATCC Medium 814: GC Agar/Broth Medium,37°C,"95% Air, 5% CO2",BSL 2,https://www.atcc.org/api/pdf/product-sheet?id=19424,https://www.atcc.org/products/19424
Staphylococcus epidermidis,ATCC 12228,N/A,ATCC Medium 3: Nutrient agar or nutrient broth,37°C,Aerobic,BSL 1,https://www.atcc.org/api/pdf/product-sheet?id=12228,https://www.atcc.org/products/12228
Staphylococcus epidermidis,ATCC 12228,N/A,ATCC Medium 3: Nutrient agar or nutrient broth,37°C,Aerobic,BSL 1,https://www.atcc.org/api/pdf/product-sheet?id=12228,https://www.atcc.org/products/12228
Staphylococcus capitis,ATCC 27840,Skin,ATCC Medium 3: Nutrient agar or nutrient broth,37°C,Aerobic,BSL 1,https://www.atcc.org/api/pdf/product-sheet?id=27840,https://www.atcc.org/products/27840
Staphylococcus capitis,ATCC 27840,Skin,ATCC Medium 3: Nutrient agar or nutrient broth,37°C,Aerobic,BSL 1,https://www.atcc.org/api/pdf/product-sheet?id=27840,https://www.atcc.org/products/27840
Pseudomonas aeruginosa,ATCC 27853,Blood culture,ATCC Medium 18: Trypticase Soy Agar/Broth,37°C,Aerobic,BSL 2,https://www.atcc.org/api/pdf/product-sheet?id=27853,https://www.atcc.org/products/27853
Pseudomonas aeruginosa,ATCC 27853,Blood culture,ATCC Medium 18: Trypticase Soy Agar/Broth,37°C,Aerobic,BSL 2,https://www.atcc.org/api/pdf/product-sheet?id=27853,https://www.atcc.org/products/27853
Staphylococcus aureus,ATCC 25923,Clinical isolate,ATCC Medium 18: Trypticase Soy Agar/Broth,37°C,Aerobic,BSL 2,https://www.atcc.org/api/pdf/product-sheet?id=25923,https://www.atcc.org/products/25923
Staphylococcus aureus,ATCC 25923,Clinical isolate,ATCC Medium 18: Trypticase Soy Agar/Broth,37°C,Aerobic,BSL 2,https://www.atcc.org/api/pdf/product-sheet?id=25923,https://www.atcc.org/products/25923
Escherichia coli,ATCC 25922,Clinical isolate,ATCC Medium 18: Trypticase Soy Agar/Broth,37°C,Aerobic,BSL 1,https://www.atcc.org/api/pdf/product-sheet?id=25922,https://www.atcc.org/products/25922
Escherichia coli,ATCC 25922,Clinical isolate,ATCC Medium 18: Trypticase Soy Agar/Broth,37°C,Aerobic,BSL 1,https://www.atcc.org/api/pdf/product-sheet?id=25922,https://www.atcc.org/products/25922
Staphylococcus aureus,ATCC 25923,Clinical isolate,ATCC Medium 18: Trypticase Soy Agar/Broth,37°C,Aerobic,BSL 2,https://www.atcc.org/api/pdf/product-sheet?id=25923,https://www.atcc.org/products/25923
Staphylococcus aureus,ATCC 25923,Clinical isolate,ATCC Medium 18: Trypticase Soy Agar/Broth,37°C,Aerobic,BSL 2,https://www.atcc.org/api/pdf/product-sheet?id=25923,https://www.atcc.org/products/25923
Staphylococcus aureus,ATCC 25923,Clinical isolate,ATCC Medium 18: Trypticase Soy Agar/Broth,37°C,Aerobic,BSL 2,https://www.atcc.org/api/pdf/product-sheet?id=25923,https://www.atcc.org/products/25923
Staphylococcus aureus,ATCC 25923,Clinical isolate,ATCC Medium 18: Trypticase Soy Agar/Broth,37°C,Aerobic,BSL 2,https://www.atcc.org/api/pdf/product-sheet?id=25923,https://www.atcc.org/products/25923
Unknown,NBF,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Unknown,NBF,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Staphylococcus aureus,ATCC 25923,Clinical isolate,ATCC Medium 18: Trypticase Soy Agar/Broth,37°C,Aerobic,BSL 2,https://www.atcc.org/api/pdf/product-sheet?id=25923,https://www.atcc.org/products/25923
