Organism Source,"Strain (Genus, species)",Isolation Source (Where found),Culture Medium,Incubation Temperature,Atmosphere,Biosafety Level,Product Sheet,ATCC Product Link
ATCC 29213,Staphylococcus aureus sub sp. aureus,Wound,ATCC Medium 18: Trypticase Soy Agar/Broth,37°C,Aerobic,BSL 2,https://www.atcc.org/api/pdf/product-sheet?id=29213,https://www.atcc.org/products/29213
ATCC 49576,Staphylococcus lugdunensis,N/A,ATCC Medium 18: Trypticase Soy Agar/Broth,37°C,Aerobic,BSL 1,https://www.atcc.org/api/pdf/product-sheet?id=49576,https://www.atcc.org/products/49576
ATCC 49576,Staphylococcus lugdunensis,N/A,ATCC Medium 18: Trypticase Soy Agar/Broth,37°C,Aerobic,BSL 1,https://www.atcc.org/api/pdf/product-sheet?id=49576,https://www.atcc.org/products/49576
ATCC 19606,Acinetobatcor baumiini,Urine,ATCC Medium 18: Trypticase Soy Agar/Broth,37°C,Aerobic,BSL 2,https://www.atcc.org/api/pdf/product-sheet?id=19606,https://www.atcc.org/products/19606
ATCC 19606,Acinetobatcor baumiini,Urine,ATCC Medium 18: Trypticase Soy Agar/Broth,37°C,Aerobic,BSL 2,https://www.atcc.org/api/pdf/product-sheet?id=19606,https://www.atcc.org/products/19606
ATCC 27853,Pseudomonas aeruginosa,Blood culture,ATCC Medium 18: Trypticase Soy Agar/Broth,37°C,Aerobic,BSL 2,https://www.atcc.org/api/pdf/product-sheet?id=27853,https://www.atcc.org/products/27853
ATCC 27853,Pseudomonas aeruginosa,Blood culture,ATCC Medium 18: Trypticase Soy Agar/Broth,37°C,Aerobic,BSL 2,https://www.atcc.org/api/pdf/product-sheet?id=27853,https://www.atcc.org/products/27853
ATCC 19424,Gram Negative cocci,N/A,ATCC Medium 814: GC Agar/Broth Medium,37°C,"95% Air, 5% CO2",BSL 2,https://www.atcc.org/api/pdf/product-sheet?id=19424,https://www.atcc.org/products/19424
ATCC 19424,Gram Negative cocci,N/A,ATCC Medium 814: GC Agar/Broth Medium,37°C,"95% Air, 5% CO2",BSL 2,https://www.atcc.org/api/pdf/product-sheet?id=19424,https://www.atcc.org/products/19424
ATCC 12228,Staphylococcus epidermidis,N/A,ATCC Medium 3: Nutrient agar or nutrient broth,37°C,Aerobic,BSL 1,https://www.atcc.org/api/pdf/product-sheet?id=12228,https://www.atcc.org/products/12228
ATCC 12228,Staphylococcus epidermidis,N/A,ATCC Medium 3: Nutrient agar or nutrient broth,37°C,Aerobic,BSL 1,https://www.atcc.org/api/pdf/product-sheet?id=12228,https://www.atcc.org/products/12228
ATCC 27840,Staphylococcus capitis,Skin,ATCC Medium 3: Nutrient agar or nutrient broth,37°C,Aerobic,BSL 1,https://www.atcc.org/api/pdf/product-sheet?id=27840,https://www.atcc.org/products/27840
ATCC 27840,Staphylococcus capitis,Skin,ATCC Medium 3: Nutrient agar or nutrient broth,37°C,Aerobic,BSL 1,https://www.atcc.org/api/pdf/product-sheet?id=27840,https://www.atcc.org/products/27840
ATCC 27853,Pseudomonas aeruginosa,Blood culture,ATCC Medium 18: Trypticase Soy Agar/Broth,37°C,Aerobic,BSL 2,https://www.atcc.org/api/pdf/product-sheet?id=27853,https://www.atcc.org/products/27853
ATCC 27853,Pseudomonas aeruginosa,Blood culture,ATCC Medium 18: Trypticase Soy Agar/Broth,37°C,Aerobic,BSL 2,https://www.atcc.org/api/pdf/product-sheet?id=27853,https://www.atcc.org/products/27853
ATCC 25923,Staphylococcus aureus,Clinical isolate,ATCC Medium 18: Trypticase Soy Agar/Broth,37°C,Aerobic,BSL 2,https://www.atcc.org/api/pdf/product-sheet?id=25923,https://www.atcc.org/products/25923
ATCC 25923,Staphylococcus aureus,Clinical isolate,ATCC Medium 18: Trypticase Soy Agar/Broth,37°C,Aerobic,BSL 2,https://www.atcc.org/api/pdf/product-sheet?id=25923,https://www.atcc.org/products/25923
ATCC 25922,Escherichia coli,Clinical isolate,ATCC Medium 18: Trypticase Soy Agar/Broth,37°C,Aerobic,BSL 1,https://www.atcc.org/api/pdf/product-sheet?id=25922,https://www.atcc.org/products/25922
ATCC 25922,Escherichia coli,Clinical isolate,ATCC Medium 18: Trypticase Soy Agar/Broth,37°C,Aerobic,BSL 1,https://www.atcc.org/api/pdf/product-sheet?id=25922,https://www.atcc.org/products/25922
ATCC 25923,Staphylococcus aureus,Clinical isolate,ATCC Medium 18: Trypticase Soy Agar/Broth,37°C,Aerobic,BSL 2,https://www.atcc.org/api/pdf/product-sheet?id=25923,https://www.atcc.org/products/25923
ATCC 25923,Staphylococcus aureus,Clinical isolate,ATCC Medium 18: Trypticase Soy Agar/Broth,37°C,Aerobic,BSL 2,https://www.atcc.org/api/pdf/product-sheet?id=25923,https://www.atcc.org/products/25923
ATCC 25923,Staphylococcus aureus,Clinical isolate,ATCC Medium 18: Trypticase Soy Agar/Broth,37°C,Aerobic,BSL 2,https://www.atcc.org/api/pdf/product-sheet?id=25923,https://www.atcc.org/products/25923
ATCC 25923,Staphylococcus aureus,Clinical isolate,ATCC Medium 18: Trypticase Soy Agar/Broth,37°C,Aerobic,BSL 2,https://www.atcc.org/api/pdf/product-sheet?id=25923,https://www.atcc.org/products/25923
NBF,Unknown,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NBF,Unknown,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ATCC 25923,Staphylococcus aureus,Clinical isolate,ATCC Medium 18: Trypticase Soy Agar/Broth,37°C,Aerobic,BSL 2,https://www.atcc.org/api/pdf/product-sheet?id=25923,https://www.atcc.org/products/25923
